name,start_time,end_time,published,location_name,location_zip,location_address1,location_address2,location_country
Caravane Insoumise du Champ du Cerf,1543654800.0,1543669200.0,True,Champ du cerf,59790,avenue Frédéric Chopin,,FR
Réunion GA mensuelle Novembre,1543253400.0,1543262400.0,True,Espace Chabrier,37700,Espace Chabrier,,FR
Rencontre citoyenne inscription listes électorales,1544860800.0,1544875200.0,True,devant leader price,77390,rue Marcel Sembat,77390,FR
Débat public PENSER LA VILLE DE DEMAIN  ( aménager? bétonner? Bouchons?Gratuité des transports?),1543950000.0,1543959000.0,True,salle Ferdinand Buisson,44840,centre culturel Camille Claudel,44840,FR
Soutien au personnel de l'Ehpad de Port-Louis/Riantec,1543239000.0,1543242600.0,True,Hôpital du scorff,56100,Hôpital du Scorff 5 Avenue Choiseul 56100 Lorient,,FR
Rassemblement Nous voulons des coquelicots/tractage campagne GLYPHO46/atelier brico-stand marché du 16 décembre au LLCC,1544203800.0,1544207400.0,True,Parvis de la Mairie de Cahors,46000,Boulevard Gambetta,,FR
"""Eviter L'Apocalypse""  Bernard Stiegler Le Média",1543408200.0,1543415400.0,True,La Maison Citoyenne,30000,38 rue Porte de France,,FR
Répétition,1543338000.0,1543345200.0,True,An Poitin Still,29000,2 Avenue de la Libération,,FR
réunion des GA Clamartois,1544122800.0,1544131800.0,True,restaurant kebab Destan,92140,5 avenue JB Clément,,FR
Plénière des comités de quartiers,1543600800.0,1543608000.0,True,Hôtel de ville,59120,104 rue du Maréchal Foch,,FR
Les insoumis de LOOS font leur marché,1543741200.0,1543748400.0,True,Marché de LOOS,59120,Rue du Général Leclercq,,FR
Réunion du GA de Loos,1543338000.0,1543343400.0,True,Café Le Foche,59120,96 rue du MAréchal Foch,,FR
INSCRIPTION LISTE ELECTORALE + DISTRIBUTION DE TRACT + RECRUTEMENT,1543390200.0,1543402800.0,True,Face au Lycée Gerville Réache (La Cale des Esclaves),97100,Rue  Amédé Fengarol,Carmel,FR
Porte à Porte à Moulins,1543249800.0,1543255200.0,True,Café le Derby,59000,196 Rue D'Arras,,FR
"agir contre la pauvreté, distribution de soupe",1543260600.0,1543265100.0,True,trottoir,18000,5 rond point henri farman,,FR
Boitage élections européennes,1543510800.0,1543514400.0,True,Place de la république (sortie métro côté rue gambetta),59000,Place de la république,,FR
"Réunion du GA ""coordination des actions inter-GA""",1545327000.0,1545336000.0,True,La Carmagnole,34070,10 rue Haguenot,,FR
Réunion du GA coordination - échanges avec les tiré.e.s au sort,1543770000.0,1543777200.0,True,La Carmagnole,34070,10 rue Haguenot,,FR
caravane inscription sur listes électorales,1543654800.0,1543680000.0,True,centre social Salengro,59280,rue JB Lebas,,FR
Diffusion de tracts - Marché Maison Blanche,1543744800.0,1543748400.0,True,Marché Maison Blanche - Devant le Théâtre La Cachette,75013,124 avenue d'Italie,,FR
Réunion Insoumis du Valenciennois,1544029200.0,1544036400.0,True,Alternateur,59300,rue des déportés du train de Loos,,FR
Collage d'affiches Toulon Ouest,1543791600.0,1544396400.0,True,Place de la Liberté,83000,Place de la Liberté,,FR
Atelier sur les axes programmatiques pour les élections européennes,1543652100.0,1543665600.0,True,Le Repère,13013,152 avenue de la Rose,,FR
